"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"5611","Republic of Korea",2020-01-30,4,0,0,0,0,0,4,0,0,0
"6240","Singapore",2020-01-30,10,3,0,0,0,0,10,0.2,0.1,0.2
"6520","Sri Lanka",2020-01-30,1,0,0,0,0,0,1,0,0,0
"6789","Taiwan",2020-01-30,9,1,0,0,0,0,9,0,0,0
"6943","Thailand",2020-01-30,14,0,0,0,5,0,9,0,0,0
"7343","United Arab Emirates",2020-01-30,4,0,0,0,0,0,4,0,0,0
"7503","USA",2020-01-30,5,0,0,0,0,0,5,0,0,0
"7621","Vietnam",2020-01-30,2,0,0,0,0,0,2,0,0,0
"344","Australia",2020-01-31,9,0,0,0,2,0,7,0,0,0
"1134","Cambodia",2020-01-31,1,0,0,0,0,0,1,0,0,0
"1258","Canada",2020-01-31,4,2,0,0,0,0,4,0,0,0
"2294","Finland",2020-01-31,1,0,0,0,0,0,1,0,0,0
"2337","France",2020-01-31,5,0,0,0,0,0,5,0,0,0
"2539","Germany",2020-01-31,5,1,0,0,0,0,5,0,0,0
"2895","Hong Kong",2020-01-31,12,2,0,0,0,0,12,0.2,0,0.2
"3100","India",2020-01-31,1,0,0,0,0,0,1,0,0,0
"3415","Italy",2020-01-31,2,2,0,0,0,0,2,0,0,0
"3528","Japan",2020-01-31,15,4,0,0,1,0,14,0,0,0
"4061","Macao",2020-01-31,7,0,0,0,0,0,7,1.1,0,1.1
"4180","Mainland China",2020-01-31,9783,1659,213,42,214,79,9356,0.7,0.1,0.7
"4277","Malaysia",2020-01-31,8,0,0,0,0,0,8,0,0,0
"4819","Nepal",2020-01-31,1,0,0,0,0,0,1,0,0,0
"5400","Philippines",2020-01-31,1,0,0,0,0,0,1,0,0,0
"5607","Republic of Korea",2020-01-31,11,7,0,0,0,0,11,0,0,0
"5798","Russia",2020-01-31,2,2,0,0,0,0,2,0,0,0
"6221","Singapore",2020-01-31,13,3,0,0,0,0,13,0.2,0.1,0.2
"6511","Sri Lanka",2020-01-31,1,0,0,0,0,0,1,0,0,0
"6632","Sweden",2020-01-31,1,1,0,0,0,0,1,0,0,0
"6784","Taiwan",2020-01-31,10,1,0,0,0,0,10,0,0,0
"6941","Thailand",2020-01-31,19,5,0,0,5,0,14,0,0,0
"7246","UK",2020-01-31,2,2,0,0,0,0,2,0,0,0
"7370","United Arab Emirates",2020-01-31,4,0,0,0,0,0,4,0,0,0
"7446","USA",2020-01-31,7,2,0,0,0,0,7,0,0,0
"7643","Vietnam",2020-01-31,2,0,0,0,0,0,2,0,0,0
"366","Australia",2020-02-01,12,3,0,0,2,0,10,0,0,0
"1103","Cambodia",2020-02-01,1,0,0,0,0,0,1,0,0,0
"1257","Canada",2020-02-01,4,0,0,0,0,0,4,0,0,0
"2280","Finland",2020-02-01,1,0,0,0,0,0,1,0,0,0
"2369","France",2020-02-01,6,1,0,0,0,0,6,0,0,0
"2490","Germany",2020-02-01,8,3,0,0,0,0,8,0,0,0
"2951","Hong Kong",2020-02-01,13,1,0,0,0,0,13,0.2,0,0.2
"3074","India",2020-02-01,1,0,0,0,0,0,1,0,0,0
"3430","Italy",2020-02-01,2,0,0,0,0,0,2,0,0,0
"3544","Japan",2020-02-01,20,5,0,0,1,0,19,0,0,0
"4082","Macao",2020-02-01,7,0,0,0,0,0,7,1.1,0,1.1
"4206","Mainland China",2020-02-01,11871,2088,259,46,275,61,11337,0.8,0.1,0.8
"4292","Malaysia",2020-02-01,8,0,0,0,0,0,8,0,0,0
"4811","Nepal",2020-02-01,1,0,0,0,0,0,1,0,0,0
"5419","Philippines",2020-02-01,1,0,0,0,0,0,1,0,0,0
"5606","Republic of Korea",2020-02-01,12,1,0,0,0,0,12,0,0,0
"5814","Russia",2020-02-01,2,0,0,0,0,0,2,0,0,0
"6258","Singapore",2020-02-01,16,3,0,0,0,0,16,0.3,0.1,0.3
"6428","Spain",2020-02-01,1,1,0,0,0,0,1,0,0,0
"6494","Sri Lanka",2020-02-01,1,0,0,0,0,0,1,0,0,0
"6692","Sweden",2020-02-01,1,0,0,0,0,0,1,0,0,0
"6798","Taiwan",2020-02-01,10,0,0,0,0,0,10,0,0,0
"6950","Thailand",2020-02-01,19,0,0,0,5,0,14,0,0,0
"7285","UK",2020-02-01,2,0,0,0,0,0,2,0,0,0
"7391","United Arab Emirates",2020-02-01,4,0,0,0,0,0,4,0,0,0
"7517","USA",2020-02-01,8,1,0,0,0,0,8,0,0,0
"7625","Vietnam",2020-02-01,6,4,0,0,1,1,5,0,0,0
"322","Australia",2020-02-02,12,0,0,0,2,0,10,0,0,0
"1118","Cambodia",2020-02-02,1,0,0,0,0,0,1,0,0,0
"1266","Canada",2020-02-02,4,0,0,0,0,0,4,0,0,0
"2288","Finland",2020-02-02,1,0,0,0,0,0,1,0,0,0
"2393","France",2020-02-02,6,0,0,0,0,0,6,0,0,0
"2501","Germany",2020-02-02,10,2,0,0,0,0,10,0,0,0
"2879","Hong Kong",2020-02-02,15,2,0,0,0,0,15,0.2,0,0.2
"3094","India",2020-02-02,2,1,0,0,0,0,2,0,0,0
"3392","Italy",2020-02-02,2,0,0,0,0,0,2,0,0,0
